"","Observation_number","Age","Emp_length","Rate","Class","Default","Cred_length","Scaled_Amount","Scaled_Income"
"1",1,22,123,16.02,1,1,3,1,0.00917278185456971
"6",2,21,2,7.14,1,0,2,0.0579710144927536,0.000983989326217478
"7",3,26,8,12.42,1,0,3,1,0.0121914609739827
"9",4,24,8,8.9,1,0,2,1,0.0131754503002001
"10",5,21,6,14.74,1,0,3,0.0318840579710145,0.00100066711140761
"13",6,23,2,7.9,1,0,2,1,0.0151767845230153
"14",7,26,4,18.39,1,0,4,1,0.017371581054036
"15",8,23,2,7.9,0,0,4,1,0.0185123415610407
"16",9,23,7,10.65,0,0,3,0.855072463768116,0.0827218145430287
"17",10,23,0,7.9,0,0,4,1,0.019346230820547
"18",11,23,7,20.25,1,0,4,1,0.0146949633088726
"19",12,23,8,18.25,1,0,4,1,0.0181787858572382
"21",13,25,2,7.49,0,0,4,1,0.0264342895263509
"22",14,25,9,16.77,0,1,2,0.994202898550725,0.0221814543028686
"23",15,22,4,17.58,1,0,4,0.971014492753623,0.0101734489659773
"26",16,24,8,12.68,1,0,3,0.942028985507246,0.0106314209472982
"27",17,21,3,17.74,1,1,3,0.118115942028986,0.00116744496330887
"28",18,23,0,9.32,0,0,3,0.0260869565217391,0.00116744496330887
"29",19,24,6,9.99,1,0,3,0.927536231884058,0.0101734489659773
"30",20,21,5,12.84,1,1,2,0.101449275362319,0.00123232154769847
"31",21,21,5,11.12,1,0,3,0.0434782608695652,0.00125416944629753
"32",22,25,2,6.62,0,0,2,0.91304347826087,0.019346230820547
"33",23,26,7,14.17,1,1,3,0.885507246376812,0.0151767845230153
"34",24,25,2,13.85,0,0,3,0.688405797101449,0.0503669112741828
"35",25,26,10,13.49,0,0,4,0.211594202898551,0.0493662441627752
"36",26,21,5,7.51,1,0,4,0.0579710144927536,0.00133422281521014
"37",27,22,1,18.39,1,0,2,0.855072463768116,0.00733822548365577
"38",28,24,8,14.54,1,1,3,0.855072463768116,0.0100066711140761
"39",29,25,4,16.89,1,1,4,0.855072463768116,0.01184122748499
"42",30,24,4,12.69,1,0,3,0.0579710144927536,0.00133422281521014
"43",31,26,10,7.88,0,0,4,0.565217391304348,0.0493662441627752
"44",32,23,1,19.41,0,1,2,0.688405797101449,0.0493662441627752
"46",33,26,0,15.33,0,0,3,0.710144927536232,0.0493662441627752
"48",34,26,8,7.49,1,0,3,0.855072463768116,0.0127901934623082
"50",35,26,0,6.62,1,0,3,0.855072463768116,0.014180787191461
"52",36,23,7,18.62,1,1,3,0.855072463768116,0.0123415610406938
"54",37,23,7,10.65,1,0,2,0.855072463768116,0.0155103402268179
"55",38,25,9,7.9,0,0,4,0.855072463768116,0.019346230820547
"59",39,25,9,7.29,0,0,4,0.855072463768116,0.0206804536357572
"61",40,21,0,5.99,0,0,4,0.855072463768116,0.021180787191461
"65",41,22,6,15.99,1,0,3,0.828985507246377,0.0110073382254837
"66",42,22,7,14.84,0,1,3,0.0289855072463768,0.00133422281521014
"70",43,25,2,13.49,0,0,4,0.710144927536232,0.0410273515677118
"73",44,21,6,13.61,1,1,3,0.072463768115942,0.00133422281521014
"74",45,23,2,7.9,1,0,2,0.797101449275362,0.0101734489659773
"75",46,26,2,7.49,1,0,3,0.797101449275362,0.0135090060040027
"76",47,26,2,7.51,1,0,3,0.16231884057971,0.00133422281521014
"77",48,22,6,9.91,1,0,3,0.797101449275362,0.0140093395597065
"78",49,21,0,13.48,1,1,4,0.107246376811594,0.00133422281521014
"79",50,22,6,7.14,1,0,2,0.123188405797101,0.00133422281521014
"80",51,24,0,15.99,1,1,4,0.797101449275362,0.0131761174116077
"81",52,24,2,12.98,0,1,3,0.507246376811594,0.0410273515677118
